fixture_id,data,mandante,visitante,casa_media_gols_marcados_5,casa_media_gols_sofridos_5,casa_media_pontos_5,casa_percentual_over15_5,casa_percentual_btts_5,fora_media_gols_marcados_5,fora_media_gols_sofridos_5,fora_media_pontos_5,fora_percentual_over15_5,fora_percentual_btts_5,target_over15,target_btts
1180408,2024-05-11T19:00:00+00:00,Flamengo,Corinthians,1.0,1.0,1.6,0.8,0.6,0.6,0.6,1.0,0.4,0.0,1,0
1180410,2024-05-12T19:00:00+00:00,Palmeiras,Atletico Paranaense,0.6,0.2,1.6,0.2,0.0,1.4,0.6,2.0,0.6,0.2,1,0
1180407,2024-05-12T21:30:00+00:00,Bahia,RB Bragantino,1.6,1.2,2.0,0.8,0.8,1.4,1.0,1.8,0.8,0.8,0,0
1180411,2024-05-13T23:00:00+00:00,Sao Paulo,Fluminense,1.6,1.0,1.4,0.8,0.6,1.4,2.0,1.0,1.0,0.8,1,1
1180417,2024-06-01T19:00:00+00:00,Vitoria,Atletico Goianiense,1.0,2.2,0.2,0.8,0.8,0.4,1.6,0.2,0.6,0.4,1,0
1180420,2024-06-02T00:00:00+00:00,Corinthians,Botafogo,0.6,1.0,0.8,0.6,0.0,2.0,0.8,2.0,0.8,0.6,0,0
1180419,2024-06-02T19:00:00+00:00,Vasco DA Gama,Flamengo,0.8,2.0,0.6,0.8,0.6,1.0,0.8,1.6,0.8,0.4,1,1
1180416,2024-06-02T19:00:00+00:00,Atletico-MG,Bahia,1.8,0.6,1.8,0.8,0.4,1.6,0.8,2.6,0.6,0.6,1,1
1180421,2024-06-02T21:30:00+00:00,Sao Paulo,Cruzeiro,1.8,0.8,2.0,0.8,0.6,1.6,1.4,2.0,0.8,0.6,1,0
1180422,2024-06-02T21:30:00+00:00,Fortaleza EC,Atletico Paranaense,1.0,0.8,1.4,0.8,0.8,1.0,0.6,2.0,0.6,0.2,0,0
1180404,2024-06-05T22:00:00+00:00,Juventude,Atletico Goianiense,1.2,1.6,1.2,1.0,0.8,0.6,1.2,0.8,0.6,0.2,0,0
1180373,2024-06-05T23:00:00+00:00,Cuiaba,Vitoria,0.0,2.2,0.0,0.6,0.0,1.0,2.4,0.2,1.0,0.8,0,0
1180433,2024-06-11T22:00:00+00:00,Atletico Goianiense,Corinthians,0.6,1.2,0.8,0.6,0.2,0.6,0.8,0.8,0.4,0.0,1,1
1180434,2024-06-11T22:00:00+00:00,Juventude,Vitoria,1.2,1.4,1.6,0.8,0.6,0.6,2.0,0.2,0.8,0.6,1,1
1180429,2024-06-11T23:00:00+00:00,Botafogo,Fluminense,2.0,0.8,2.0,0.8,0.6,1.2,1.8,1.0,1.0,0.8,0,0
1180431,2024-06-12T00:30:00+00:00,RB Bragantino,Atletico-MG,1.0,0.6,1.6,0.6,0.4,2.0,0.8,1.8,1.0,0.6,1,1
